title,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,2,0.9160358565737052,0.8885456734685111,0.891763100863146,0.6106517509727627,0.8144811537546885,0.6485399759417667
Model2,500,2,2,0.9164342629482072,0.8707619305867816,0.8880780320875853,0.5997081712062257,0.6836871933682964,0.6290315265859179
Model3,500,3,2,0.9173804780876494,0.867057677548832,0.8887084276953708,0.5994649805447471,0.669919549056424,0.6327370470913678
Model4,500,1,1,0.9175298804780877,0.8923228846026076,0.890602354278845,0.6038424124513618,0.8376124226685201,0.6499603766972241
Model5,500,2,1,0.922410358565737,0.8838800050961337,0.8983370931414235,0.6252431906614786,0.7285783080703025,0.6649855724610285
Model6,500,3,1,0.9206673306772908,0.888684476278358,0.8947170627696408,0.6157587548638133,0.8269982297295168,0.6432180468544522
Model7,800,1,1,0.9202191235059761,0.8971557623032221,0.8949285594043214,0.6218385214007782,0.8873938952796168,0.667167240345298
Model8,800,2,1,0.9244521912350597,0.9000795018217412,0.9017804652072741,0.6471303501945526,0.8022722861510346,0.6789350556803773
Model9,800,3,1,0.9235059760956176,0.8953681691498723,0.9043287144566752,0.6393482490272373,0.762010909030058,0.6800219126676241
