title,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,2,0.8910358565737052,0.831969960937279,0.8603894979479095,0.6583171206225681,0.5287032280353055,0.5864337323915186
Model2,500,2,2,0.9136454183266932,0.8639813128284084,0.8868092477792571,0.6510214007782101,0.5919535321697432,0.6200839735275533
Model3,500,3,2,0.8930776892430279,0.849954595842899,0.8701090470061126,0.6770428015564203,0.560108015392032,0.5937557152671715
Model4,500,1,1,0.8916334661354581,0.8323453686316087,0.8606229516420092,0.6731517509727627,0.4793969269453264,0.559988288507052
Model5,500,2,1,0.911503984063745,0.8803875899211766,0.8949488923772524,0.6626945525291829,0.5541017477029723,0.6035524757588439
Model6,500,3,1,0.9138446215139442,0.906963076283843,0.9090568583646506,0.6879863813229572,0.6778654131182872,0.672720390801989
Model7,800,1,1,0.8967629482071713,0.8456393460107334,0.8663359612893233,0.6634241245136187,0.5158525288570867,0.5804049649536636
Model8,800,2,1,0.9219621513944223,0.8870789207682277,0.9011391060859079,0.6485894941634242,0.6298258385288601,0.6390699666628823
Model9,800,3,1,0.9127490039840638,0.9151380699411782,0.9102743732376256,0.7050097276264592,0.7023864303559514,0.6961327334020135
